,Dressing Frequency (MHz),AC stark shift (MHz),AC stark uncertainty (MHz)
0,4600,0.08970695624219616,1.5265625205860203
1,4605,0.08540876017988808,1.698376642577295
2,4610,-0.6308358546100408,1.7057234058329485
3,4615,-0.3419939705636068,1.6389174530739412
4,4620,-0.5579170941470437,1.3273532849596168
5,4625,-1.248121473622092,1.3095732837644445
6,4630,-2.7771389215813684,1.404128901012273
7,4635,-3.6004454331961,1.3445409620805835
8,4640,-3.8996265779507837,1.2953608478576046
9,4645,-3.6891246925421086,1.594814174477581
10,4650,-3.7477820704972373,1.4054532767253325
11,4655,-3.9041014552687585,1.258243008515074
12,4660,-3.64022734848227,1.23445695787036
13,4665,-3.738009970340272,1.2920865153531844
14,4670,-3.2715576195925706,1.365619409864803
15,4675,-3.5710930516646613,1.1828793280390972
16,4680,-3.4652519448653862,1.34080447340114
17,4685,-3.811150383720644,1.2703033028956212
18,4690,-4.625994220672041,1.2653526433112434
19,4695,-6.841612702216338,1.0390020045981283
20,4700,-10.828918284609642,1.166299430161596
21,4705,-12.629377996310126,1.2660352614469417
22,4710,-13.025224072681695,1.3022947703244634
23,4715,-12.397752190287278,1.2542904649005218
24,4720,-12.38231764215719,1.2324555685304557
25,4725,-11.560537363477636,1.1871599788447451
26,4730,-12.387378184114397,1.130719977548053
27,4735,-12.258444370759634,1.2858673657443953
28,4740,-14.288819299067121,1.1831628914710401
29,4745,-17.593660397185396,1.5771278265791275
30,4750,-18.23395091475929,1.7494590572128952
31,4755,-18.150841608334552,1.7801943753370701
32,4760,-17.71662115910994,1.5370080200124625
33,4765,-17.290897324971787,1.4404958513388844
34,4770,-15.671163998813277,1.5308888376975183
35,4775,-18.56698272135865,1.4934756887382308
36,4780,-18.9429473162539,1.8141458649472906
37,4785,-19.657646179331024,1.8422693303342612
38,4790,-19.248000644807284,1.794005774474384
39,4795,-20.29326589909443,2.2550203920592358
40,4800,-18.257876300072077,2.644956835953624
41,4805,-18.24883500275238,3.1880189226860454
